,text,label,document_index
800,error indices used sumexpr,DEFECT,800
802,hack visible bindings,CODE,802
804,define variables fix visible binding check bit hack,CODE,804
805,hacky fix visible binding warning,CODE,805
806,define variables fix visible binding check bit hack,CODE,806
807,define variables fix visible binding check bit hack,CODE,807
808,define variables fix visible binding check bit hack,CODE,808
812,todo preserve sparseness later convert inside optimizeals,REQUIREMENTS,812
813,todo add tests different lambda setting todo add tests updating k new data note done total test time still 60s skip cran,TEST,813
814,todo add tests saving snf better parameter setting place todo add tests different knnk k2 settings,TEST,814
815,tests dimensional reduction these included functions object dependent avoid recalculating factorization fresh object s timeconsuming todo add smaller example object h hnorm included could loaded make tests modular,TEST,815
817,todo add tests ligertoseurat seurattoliger functions including functionality related new celldata slot,TEST,817
818,ad hoc use common demonator class new class,DESIGN,818
820,attached workers session information unless already done fixme we introduces race condition multiple similar requests may appear time bringing sendreceive data sync therefore corrupt futures values workers addclustersessioninfo workers,ALGORITHM,820
821,workaround when running covr packagecoverage package tested may actually installed library path used covr we add path iff covr used hb,TEST,821
823,ad hocspecial case skip connection serialized lacks internal representation hb,ALGORITHM,823
825,ad hoc this assumes worker hostname case mpi workers hb,ALGORITHM,825
827,fixme add method globalsof future s possible also sequentialfuture return something hb,CODE,827
828,fixme special case every cases need support hb,CODE,828
829,backward compatibility for value collects results later want future backends use result hb,CODE,829
830,mdebugf getexpression setting mccores inside future mccores fixme how guarantee futuremccoresold overwritten hb,CODE,830
832,note we nt want use local body w onexit evaluation local optional cf argument local if mandatory could instead use trycatch statement hb,CODE,832
833,workaround if name objectsfunctions coincides promise eg future assignment end recursive evaluation resulting error promise already evaluation recursive default argument reference earlier problems to avoid make sure import functions explicitly hb,CODE,833
834,note to self we d ideally envir argument also futurecall cf future however s yet clear need globalsof search globals current environment order identify globals arguments fun args cf futureapply futurelapply hb,BUILD,834
835,drop ignore globals fixme this really implemented globals globalsof,CODE,835
836,resolve remaing globals fixme should resolve package names spaces should we assume contain futures we turns expensive maybe dive environments certain flag set hb,BUILD,836
837,fixme reimplement locally using loop,CODE,837
838,ad hocworkaround note stopclusterspawnedmpicluster calls rmpi mpicommdisconnect may stall r because drop spawnedmpicluster class attribute avoid calling method similarly calling rmpi mpifinalize rmpi mpiexit may also hang r see also stopclusterrichmpicluster implementation reference https stackoverflowcoma443176471072091,DESIGN,838
840,ad hoc warn windows ssh bug rev tunneling,BUILD,840
841,apply connection time limit rest current computation note regardless transient true false still seems need undo manually hb,ARCHITECTURE,841
843,workarounds r pass single job list cf https bugsrprojectorgbugzilla3showbugcgi id17413,CODE,843
844,note in issue suggested parallel rmchild could fix seems story still get warning even removing children,DEFECT,844
845,tell blas use single thread note is multithreaded blas issue have got reports fixme how get current blas settings hb rhpcblasctl blassetnumthreads 1l,ARCHITECTURE,845
846,fixme it seem multisession futures examples gives errors r cmd check eg open file futureexrout permission denied because use donttest,DEFECT,846
847,b no need request reverse ssh tunnel wo nt happen localhost anyways case,CODE,847
849,not needed anymore,CODE,849
850,names x supported r,BUILD,850
851,names x supported r,BUILD,851
852,future yet launched fixme civis civisfuture uses succeeded hb,CODE,852
853,special by default nt add futureinfo modifies error object may break things,CODE,853
854,nothing todo,CODE,854
855,installed fails loadattach,DEFECT,855
856,fixme the identification external ip number relies single thirdparty server this could improved falling back additional servers cf https githubcomphoemuripgetter,ARCHITECTURE,856
858,keep private network ips case,CODE,858
859,keep private network ips case,CODE,859
860,trim drop empty results case,CODE,860
861,fixme some elements may exist although ls returns exists say exist cf issue hb note hmm possible test existence doomed use trycatch,TEST,861
863,workaround the image name column may contain spaces making hard locate second column instead identify common number column typically six count many columns drop end order find second last,ALGORITHM,863
864,warning pidexists slow windows,ARCHITECTURE,864
865,options ncpus p fixme does make sense hb,CODE,865
867,workaround covr packagecoverage mergecoverage produces error readrds x error reading connection type fork is related mcparallel comments help packagecoverage hb,TEST,867
869,fixme make plan cluster workers null work setdefaultcluster actually tested,TEST,869
870,fixme why nt work it causes future stall parallel stopcluster cl,DEFECT,870
871,bug now instead fails find abc,DEFECT,871
872,create future consumes background process this is the tricky part two globals identified env b resolved however object env b element environment env touched therefore resolved since future unless environment env resolved recursively issue,CODE,872
873,bug fix in future global pkg would overwritten name last package attached future,DEFECT,873
875,workaround on linux wine base sysgetenv may return elements empty names hb,CODE,875
876,fixme print calls resolved triggers result collection future f1 become resolved this means future f2 may launch worker f1 so nt resolve print f1,CODE,876
877,do nt test cran comment in future would left stray r worker process behind would terminate main r process terminates in future try detect kill setup fails,TEST,877
878,fixme on cran rdevellinuxx8664fedoraclang number openmp threads multicorefuture future error enable nthreads 1l true,CODE,878
879,issue when using stdout truefalse connection opened worker due sink ing hijacked global con connection expression because test stdout na,TEST,879
880,workaround captureoutput gained argument split r,CODE,880
881,skip test causes issues least r,TEST,881
883,fixme should value,CODE,883
886,reset session uuid hack,CODE,886
888,todo add cellduration colfactor,DESIGN,888
890,theory consult hosting spreadsheet default format s absent consult locale spreadsheet user unclear i punt,DESIGN,890
891,todo dag complicated i think would need based set operation,CODE,891
893,nocov end,TEST,893
894,todo make astibble method todo deal merged cells todo ensure returns integer columns appropriate,CODE,894
896,todo consult remote keyvalue store case change,CODE,896
897,todo time day really implemented yet,REQUIREMENTS,897
898,todo celltime really implemented yet,REQUIREMENTS,898
900,todo wired yet body asdatetime astime function cell na trimws true cell map cellcontentdatetime na na trimws trimws mapdbl asdouble asposixct,REQUIREMENTS,900
901,todo would janky newgooglesheets4spreadsheet factored way i could make better use logic,DESIGN,901
902,prepare cell field mask todo adapt celldata becomes vctrs class,CODE,902
903,anticipated inputs character method x range means nt matter never consulted sheet range skip sheet1 a1 b2 namedrange sheet1 weird i guess roll redispatch a1 b2 sheet1 a1 b2 a1 b2,CODE,903
905,todo convey something userenteredformat,DOCUMENTATION,905
906,todo come back deal data,CODE,906
907,todo open question whether i explicitly unescape title,CODE,907
908,todo proves necessary could meaningful checks,CODE,908
910,cellranger asrange wrong thing everything ie returns na but make valid a1 ranges sheets api many cases until cellranger capable must googlesheets4,DESIGN,910
911,to think i questioning even allowed perhaps must use sheet argument range clear re talking passing sheet name name named range without a1 c4 type range suffix,CODE,911
912,todo still sophisticated enough detect a aa aaa strings length less numbers less digits i believe valid ranges,ALGORITHM,912
913,hack slow things ci,BUILD,913
914,todo revisit means factor,TEST,914
915,todo revisit means factor,TEST,915
916,i think s bug celllimits fills start row,DEFECT,916
917,i think s bug celllimits fills start column,DEFECT,917
918,cell listcolumn tibble addrow insertshims work increased typestrictness coming tibble v30 todo maybe use even realistic celltype object helpers better,DESIGN,918
919,workaround,CODE,919
920,workaround,CODE,920
922,hardcoded maximum number weeks ideal,CODE,922
923,version hardcoded argument qwindow specifies window l5m5 analysis done so l5m5window depricated argument also clarified documentation,CODE,923
924,what minimum number accelerometer axis needed meet criteria nonwear order data detected nonwear needs hard coded avoid inconsistency literature extracting basic information file,ALGORITHM,924
925,todo check file format version,CODE,925
926,ld analysis stops trick stop cat nstop reading enough data blockn,CODE,926
927,no idea what rest noise is for actigraph test needed,TEST,927
930,if tsoffset null timestamp offset artificially modified backwardscompatibility therefore undo,CODE,930
931,todo create automatic extraction information actigraph fileheader volunteer id stored binary file header investigator id handedness body location gender serial number,REQUIREMENTS,931
932,bout fall without measurement,DEFECT,932
933,use filename identifier,CODE,933
934,cwa ax6 note 18feb2020 for moment ggir ignores ax6 gyroscope signals robust sensor fusion algorithms gyroscope metrics prepared,DEFECT,934
937,speed testing read first blocks data ld analysis stops trick stop,TEST,937
938,it seems axivity store timestamp consistent position therefore need search data,CODE,938
939,one files starttime hidden rowname,CODE,939
940,one files start variable name hidden values,CODE,940
941,initially used apparently corrupted sometimes i using icmtztime,CODE,941
942,needed mam study first timestamp clock time,CODE,942
943,to do issue check whether object m column externalnonwear if yes use instead ggirbased nonwear unless externalnonwear false default,DEFECT,943
944,checks corrupt file yet maybe needed csvformat,ARCHITECTURE,944
945,sample frequency stored,CODE,945
946,this function is not used anymore by ggir gapplymetrics,CODE,946
947,note this work cwa files also need rcpp functions so probably best turn parallel debugging cwa data,ARCHITECTURE,947
949,format probably incorrect,CODE,949
950,spt end within double hour,CODE,950
951,time go back spt may ended either first second double hour to do distinguish rare cases assume ends second hour avoid sleep efficiency,REQUIREMENTS,951
952,time go back spt may ended either first second double hour to do distinguish rare cases assume ends second hour avoid sleep efficiency accelerometer derived sleep duration,REQUIREMENTS,952
953,impute sleeplog to do also implement catch sleeplog available,DESIGN,953
956,sleeponset wake annotations day plot sleep wake annotations suggestions welcome,REQUIREMENTS,956
958,data reading succesful now load last page assess whether may something wrong block data i vvh implemented temporary fix 17nov2018 would better understood source error address inside gcwaread function for example page corrupted,DEFECT,958
959,todo create automatic extraction information actigraph fileheader,REQUIREMENTS,959
960,todo create automatic extraction information monc fileheader,REQUIREMENTS,960
961,moved fully cleaned nights need deleted back,CODE,961
962,note argument includenightcrit includedaycrit used anymore depricated,CODE,962
965,default configurations keep hardcoded,CODE,965
967,hard coded assumption dynamic range 8g,CODE,967
968,hard coded assumption dynamic range 16g,CODE,968
969,adjustment needed for actigraph,ALGORITHM,969
970,adjustment needed for axivity,ALGORITHM,970
971,adjustment needed for movisens,ALGORITHM,971
972,measurement started minutes midnight used nasty hack measurements start minutes midnight fixed,DEFECT,972
973,we metrics travisci allocate enough memory,TEST,973
974,error occuring using humanmine the fourth column attext variable redundant prevent rbind attext refext colext,DEFECT,974
975,query constraints type nt attributes skip should test null instead,TEST,975
977,combine fuzzy simplicial set another fuzzy simplicial set generated categorical data using categorical distances the target data assumed categorical label data vector labels update fuzzy simplicial set respect label data todo optional category cardinality based weighting distance simplicialset the input fuzzy simplicial set target the categorical labels use intersection unknowndist the distance unknown label assumed point fardist the distance unmatched labels return the resulting intersected fuzzy simplicial set,REQUIREMENTS,977
978,possible overrides,DESIGN,978
979,no way compare python implementation due differences random number implementations well floating point comparison various architecture differences so ll check output ok,TEST,979
980,centering,TEST,980
983,error http error not found rate limit remaining rate limit reset utc,DEFECT,983
984,nocov,TEST,984
985,todo would make sense vectorize eg installversion c foo bar c,CODE,985
986,dummy package name required parsedeps,BUILD,986
987,todo would nice cache downloaded files like availablepackages,BUILD,987
988,todo r repos c published archive c published archive r repos right s latter it matters required version satisfied early repo archive late repo,BUILD,988
990,this real package ca nt actually build,BUILD,990
991,has forcelocal tar fails,CODE,991
992,this implements soft requirement python umap module ie package work components absent gain additional functionality components present,REQUIREMENTS,992
993,get warning spectral embedding abandoned,USABILITY,993
995,test based bug report in bug mindist ignored ab inadvertely converted na specific values r python link,TEST,995
996,error legacy slot detection,DEFECT,996
997,check assays matrices note previous versions slotted deseqdataset deseqtransform result metadata mismatches objects contain coldata rowdata,CODE,997
998,this check fails bioc summarizedexperiment nolint start identical rownames rowdata rownames object nolint end,BUILD,998
999,nocov end,TEST,999
1000,sample metrics note sample metrics used qc plots currently generated using fast rnaseq workflow this depends upon multiqc aligned counts generated star,ARCHITECTURE,1000
1001,nocov start this step covered bcbio pipeline tests,TEST,1001
1003,nocov start nolint start,TEST,1003
1005,rlog regularized log transformation v0322 we re longer allowing automatic rlog calculation bcbiornaseq call s often slow however re keeping support legacy objects,REQUIREMENTS,1005
1006,nocov,TEST,1006
1007,we coerce data frame resize matrix row names you ca nt matrix directly otherwise ll hit subscript bounds error,CODE,1007
1008,nocov start,TEST,1008
1009,nocov end,TEST,1009
1010,nocov start,TEST,1010
1011,nocov end,TEST,1011
1012,nocov start,TEST,1012
1013,nocov end,TEST,1013
1014,drop columns zeroes useful plot sometimes missing values samples others plotpcacovariates failing cases checking column numeric here ignore nas numeric column checking adding narm fixes issue,CODE,1014
1015,nocov start,TEST,1015
1016,nocov end,TEST,1016
1017,given graph width height page orientation type returns best suited template to do maybe still add additional parameter pageaspectr support a4,CODE,1017
1018,model pythonbuiltinobject working,DEFECT,1018
1019,todo remove priority getmodule documented reticulate package,DOCUMENTATION,1019
1020,todo find fullmatrix row column oriented,CODE,1020
1021,since sample annoying convenience feature lenght x,CODE,1021
1023,use matrix covers tsp atsp,CODE,1023
1024,look optimal insertion place k later necessary convenient reuse code insertion algorithms,CODE,1024
1026,use matrix covers tsp atsp,CODE,1026
1027,fixme specify start city,REQUIREMENTS,1027
1028,use matrix coveres tsp atsp,CODE,1028
1029,hack use instead column rowannotation take account associated legend s width produce layout,CODE,1029
1030,todo allow rotating labels,REQUIREMENTS,1030
1031,fix infinite breaks mrange range mat narm true brange range colourscale isfinite colourscale narm true colourscale colourscale inf min mrange brange colourscale colourscale inf max mrange brange,DEFECT,1031
1032,rescale columns todo effect rescaling rescaling makes update offset fail,DEFECT,1032
1033,rescale columns todo effect rescaling rescaling makes update offset fail,DEFECT,1033
1034,internal functio trick extractfeatures formatsubset,CODE,1034
1035,todo working local functions,DEFECT,1035
1037,keeping fits join results nmffitxn object todo improve memory management,ARCHITECTURE,1037
1038,instantiation parameters set internally todo change target x impact nmfmodel,CODE,1038
1039,todo restore rng state,CODE,1039
1040,trick convenience,CODE,1040
1041,todo valid object returning param checktrue false,CODE,1041
1042,todo uncomment make compute mean best rss setmethod rss nmffitxn function object target rss fit object target,CODE,1042
1043,use name key nb need special trick avoid conflict argument function,DESIGN,1043
1044,use name key nb need special trick avoid conflict argument function,DESIGN,1044
1045,todo test existence objective method,TEST,1045
1046,early exit foreach backend dompi working sure,CODE,1046
1047,todo add functionality save registered strategy file use r sessions,REQUIREMENTS,1047
1048,we also recommend use propack svd 1st svd partial svd rankk propack optionstol remove comment line u s x lansvd a k l options remove comment line,BUILD,1048
1049,todo allow data none ggplot instance passed factory check data,REQUIREMENTS,1049
1050,todo allow data none ggplot instance passed factory check data,REQUIREMENTS,1050
1051,ggplot2 ca nt rescale residuals type asis see https githubcomsinhrksggfortifyissues202,DEFECT,1051
1052,todo may better use layer directly,CODE,1052
1053,baseclass attr added autoplotaareg,CODE,1053
1055,fails cran i386 components inversed,BUILD,1055
1056,fails cran i386 components inversed,BUILD,1056
1057,fails cran sparc components inversed,BUILD,1057
1059,fails cran travis components inversed,BUILD,1059
1060,not exporting function functionality exists elsewhere,DESIGN,1060
1061,todo try parallelize nrc sentiment,ARCHITECTURE,1061
1065,todo working rstudio pane in zomm mode works shiny,DEFECT,1065
1066,nocov start,TEST,1066
1067,nocov end,TEST,1067
1068,brief hack vctrs support to replaced distributional,CODE,1068
1070,something nt right,CODE,1070
1072,nocov end,TEST,1072
1073,todo use c tools,ARCHITECTURE,1073
1074,nocov start,TEST,1074
1075,nocov end,TEST,1075
1076,nocov start,TEST,1076
1078,nocov,TEST,1078
1081,nocov start,TEST,1081
1083,not documented p1 p2 missing switches interactive selection personal use,DOCUMENTATION,1083
1084,nocov start,TEST,1084
1085,nocov end,TEST,1085
1086,nocov,TEST,1086
1087,nocov tested single core cran nocov nocov,TEST,1087
1088,the state unchanged chunk still processing nocov,TEST,1088
1089,if fails first chunk likely error code stop display error message,DEFECT,1089
1090,if fails somewhere else likely error specific point cloud return partial output display logs,DEFECT,1090
1091,nocov start,TEST,1091
1092,nocov end,TEST,1092
1093,nocov start,TEST,1093
1094,nocov end,TEST,1094
1095,nocov start,TEST,1095
1096,nocov end,TEST,1096
1097,nocov,TEST,1097
1098,nocov start,TEST,1098
1099,nocov end,TEST,1099
1101,nocov,TEST,1101
1102,nocov,TEST,1102
1103,cov,TEST,1103
1104,function non exported sf build sf source code cran accept use operator nocov start,TEST,1104
1105,nocov end,TEST,1105
1106,nocov,TEST,1106
1108,nocov nocov,TEST,1108
1109,nocov,TEST,1109
1110,nocov,TEST,1110
1112,nocov fails flavor cran nocov nocov,TEST,1112
1113,nocov start,TEST,1113
1114,nocov end,TEST,1114
1115,nocov start,TEST,1115
1116,nocov end,TEST,1116
1117,from rglsetmousecallbacks man page nocov start,TEST,1117
1118,nocov end,TEST,1118
1119,nocov,TEST,1119
1120,nocov,TEST,1120
1121,nocov,TEST,1121
1122,nocov nocov,TEST,1122
1124,eg future plan future multisession workers 2l nocov,TEST,1124
1126,nocov start,TEST,1126
1127,nocov end,TEST,1127
1129,done outside case s null,CODE,1129
1130,this package kind onattach behavior good oh well s first hacky solution ve put people s crap,BUILD,1130
1131,because snowparam slow yet multicoreparam fails windows see discussion https githubcombioconductorbiocparallelissues98,ARCHITECTURE,1131
1132,register fail todo delayedarray s fix gets,CODE,1132
1133,code currently work need thinking indexing gtable work detail how grobs move around,DEFECT,1133
1134,below removed old grid unit implementation deprecated,CODE,1134
1135,fix output header show adonis2 call instead adonis0,DEFECT,1135
1136,margin omit term turn compare complete model this involve partial terms conditions variables permutations remain similar direct reduced default models perhaps model used full models this basically similar decomposition by term compares models without term turn complete model separate calls permutestcca from vegan update model formula avoids scoping issues makes function robust embedded functions instead call ordconstrained method pass modified constraint matrix,DEFECT,1136
1137,object must list cca objects permutations must permutation matrix assume calling function takes care function directly called users,DESIGN,1137
1138,all models evaluated permutestcca identical permutations differences single permutations used assess significance differences fitted models this strictly requires nested models checked terms smaller model must included larger model,TEST,1138
1140,someone really tried analyse correlation like object range,ALGORITHM,1140
1141,the following line evaled environment formula made update fail rethink line capscale fails mysteriously point,DEFECT,1141
1143,old behaviour,CODE,1143
1144,undo sqrtdist sqrtdist applied first capscale must last,ARCHITECTURE,1144
1147,see stressplotcapscale model implement goodness done nt care disable,ALGORITHM,1147
1148,nearly zero stress usually good thing symptom problem may insufficient data nmds,CODE,1148
1149,fortran call must quoted monomds mixed case fixed,ARCHITECTURE,1149
1151,matching displays could done better see ordipointlabel may yet broken,DEFECT,1151
1152,some scores accept one display workaround,REQUIREMENTS,1152
1153,type biplot yet implemented,REQUIREMENTS,1153
1154,grid userdefinable,CODE,1154
1155,ad fs also allowed,CODE,1155
1156,should work also r capabilities tiff,CODE,1156
1157,external tcltk windows seems buggy type extensions file name extension automatically appended defaultextension interpreted wrongly value used extension correct appending done defaultextension value the following kluge tcltk documentation corrected tcltk fixed,DEFECT,1157
1158,move labels closer points zoom fixme does nt perfect job,DEFECT,1158
1159,it bad practice replicate specpool equations change specpool function gets sync you ashamed jari oksanen,CODE,1159
1160,function x designdist x j terms binary much slower,ARCHITECTURE,1160
1161,dfun kluge first item vector x must sample size rest community data this seemed easy trick evaluate dfun apply instead loop,CODE,1161
1163,probably fails empty identical groups nan,CODE,1163
1164,nonsequential models burnin may thinning set burnin0 leave thin like user set,REQUIREMENTS,1164
1165,ts attributes tricky evaluate outside loop,CODE,1165
1166,scores drops list matrix one item workaround,CODE,1166
1168,begin anovacca test anovacca tests work subset missing values functions variables poly a12 variables data frame attached data working environment,TEST,1168
1169,fails adonis must done detached df used instead duneenv,TEST,1169
1170,benedicte bachelot informed us several anovacca functions failed community data name function name function name found first used instead ofa data this seems related problem sven neulinger communicated examples still faile condition strata function names however following examples failed work,DEFECT,1170
1171,richard telford tweeted example fails work also issue githubcomvegandevsvegan,TEST,1171
1173,capscale euclidean distances noneuclidean distances imaginary component give back data,CODE,1173
1174,todo add test,TEST,1174
1175,todo add test,TEST,1175
1178,nocov start,TEST,1178
1180,not elegant fix weights provided,CODE,1180
1181,dirty hack avoid overridig base proptable,DESIGN,1181
1182,nocov start nolint start,TEST,1182
1183,nolint end nocov end,TEST,1183
1184,todo define plot functions basicstats,REQUIREMENTS,1184
1185,cat j n debugging todo optimize using function pops needs new function,CODE,1185
1186,calculate corrected assignment index individuals dat genotype data frame sex vector sex labels nperm number permutations carried permutation test tailed test mean aic time todo options one tail tests include test variance fis fst call wc,TEST,1186
1187,verify nbpop nbloc nbal,TEST,1187
1188,this needed avoid notes visible binding r cmd check,BUILD,1188
1189,this dummy real detection,CODE,1189
1191,turn autocommit redshift avoid issue https githubcomohdsidatabaseconnectorissues90,VERSIONING,1191
1192,never run,CODE,1192
1193,set time stop ftp seems give wrong files sometimes,CODE,1193
1194,remove bmf files bovespa equity files,CODE,1194
1195,old code rbind slower,ARCHITECTURE,1195
1196,fix visible binding note check utils suppressforeigncheck colnames doesnt work unfortunately seems easiest way keep check quiet variables,DEFECT,1196
1197,fix visible binding note check utils suppressforeigncheck colnames doesnt work unfortunately seems easiest way keep check quiet variables,DEFECT,1197
1198,check error messages response body todo api responses succeed still include warnings emit well,BUILD,1198
1199,todo improve performance see https githubcombioconductorgooglegenomicsissues17,ARCHITECTURE,1199
1200,todo improve performance see https githubcombioconductorgooglegenomicsissues17,ARCHITECTURE,1200
1201,todo flatten per alt,CODE,1201
1202,obtain genotype calls current assumption unphased need info vcf content might json fixme,DEFECT,1202
1203,add genotype field fixme may reflect actual content gt field vcf,REQUIREMENTS,1203
1204,prediction sometimes fails,TEST,1204
1206,bug found cro ä¿®æ ” ¹é™å®šï¼œä¸ç§ » é™¤min type return,DEFECT,1206
1207,generally w mainly occur winter so s seasonable assigned minval error fixed w wmin missval na much appropriate naapprox replace values range setted wmin weight based test marginal extreme value also often occur winter this step really dangerous checked usme2,ALGORITHM,1207
1208,f weird s envinment global env environment f environment,BUILD,1208
1209,todo remove bad one generally m7,CODE,1209
1210,fix error tout,CODE,1210
1211,tasklist ws exported need add iout variable,DESIGN,1211
1212,termination criteria tricky how determine successful convergence,ALGORITHM,1212
1213,ans yet defined set list ctrl badval,CODE,1213
1214,bad result what ans yet defined set list failed run ctrl trace,CODE,1214
1216,browser need fix data error,DEFECT,1216
1217,divide multiple growing seasons update commented solve problem growing season long eg uscop i dt ypeak ypeakmin dt dt i,REQUIREMENTS,1217
1219,triplicate hants test not perfect regions multiple growing season no one method cope situation nextend length i ibeg max first i nextend iend min last i nextend nlen,TEST,1219
1220,blowfly model general dt set dt1 dt2 dt hardcoded initial values customized dt,CODE,1220
1221,nocov,TEST,1221
1222,nocov,TEST,1222
1223,nocov,TEST,1223
1224,nocov,TEST,1224
1225,nocov,TEST,1225
1227,nocov,TEST,1227
1228,nocov nocov,TEST,1228
1229,nocov,TEST,1229
1230,nocov,TEST,1230
1231,nocov,TEST,1231
1232,nocov,TEST,1232
1233,nocov,TEST,1233
1234,nocov,TEST,1234
1235,the default smoothing kernel r specpgram function weird this function creates better one,CODE,1235
1236,trick turn types input abc format eg becomes,CODE,1236
1237,makes copy model efficient way,ARCHITECTURE,1237
1238,is bad idea we need forge terms inline function may used like poly gurantee env global env one used mold,CODE,1238
1240,todo deprecate hardhat,CODE,1240
1241,nocov end,TEST,1241
1242,nocov start compatpurrr last updated rlang,TEST,1242
1243,nocov end,TEST,1243
1244,nocov start implicitly tested already,TEST,1244
1245,nocov end,TEST,1245
1246,only autodocument creating new packages must explicitly set pkg path,DOCUMENTATION,1246
1248,fixme add tetsts runshinymlr possibly use shinytest https githubcomrstudioshinytest,TEST,1248
1249,s weird bug rbinding 0row dt nonzero row dt returns 4m rows,DEFECT,1249
1250,todo right priors first sample used determine scale,CODE,1250
1252,todo determine bayesian flowclust works k specified different length number components given prior if add github issue fix,DEFECT,1252
1253,hack circumvents bug flowclust todo add issue github flowclust allow prior null,DEFECT,1253
1254,fixme currently still returning first peak want pass density instead xbetween min xbetween signal values,DEFECT,1254
1255,todo doublecheck cutpoint minimum found via firstderiv passes secondderivative test,TEST,1255
1256,todo come general design polygongates derived two quadrants,DESIGN,1256
1258,fixme somehow edge attributes correctly assigned edge respectively,CODE,1258
1259,line type somehow nt work,DEFECT,1259
1261,peak multiple peaks select overall median shoulder cutpoint,ALGORITHM,1261
1262,this absolute last resort make sure block never returns na due lack shoulders inflection points in case return simple min,CODE,1262
1264,todo standardize data ppres,CODE,1264
1265,taking quite time thus internal testing,TEST,1265
1266,todo investigate segfault associated multicore l asinhtgml2trans,CODE,1266
1268,skip gatingargs tcell panel since format changes due scientifc notation 1e3 nt want change csv since used elsewehere,CODE,1268
1269,todo somehow test api extraction without supplying api key,TEST,1269
1270,safe,CODE,1270
1271,safe,CODE,1271
1272,set empty array copy data structure qsorts make na,CODE,1272
1273,make participants unique also nocond case,CODE,1273
1274,dumb otherwise r complains unused argument,CODE,1274
1275,todo set printing method show bootstrapped zscores factor scores stability indices,REQUIREMENTS,1275
1276,not currently used may worth condensing monkeylearngetclassify monkeylearngetextractor,CODE,1276
1277,not sure type output d get,CODE,1277
1278,try loading rdata file stop nt work,DEFECT,1278
1279,here finally decent solution tcltk issues global variables here create new environment whose parent amelia namespace we make sure gui functions use enclosure this means functions use values ameliaenv this eliminates need getamelia calls still careful since assigning values functions local nt automatically add value ameliaenv so assigning putamelia probably still makes sense we could use assign foo bar envir parentframe putamelia probably clear getamelia probably still little safe use throw error something missing whereas relying lexical scoping try use something name search path,ARCHITECTURE,1279
1280,should find better sig figs hack,CODE,1280
1281,maybe can remove loop,CODE,1281
1282,note fix this currently ignores conf assumes ci95,CODE,1282
1285,todo handle case ca nt open browser,CODE,1285
1287,todo handle case ca nt open browser,CODE,1287
1288,nocov start,TEST,1288
1289,nocov end,TEST,1289
1292,never use selfdescriptor inside self class,CODE,1292
1294,revert par shit original state,CODE,1294
1295,todo debug,DEFECT,1295
1296,todo readdepth siglevellogr maxdistlogr longer use,CODE,1296
1297,balanced check added dcw,CODE,1297
1299,dcw much lenient logr thresholds allow anything todo this parameter pushed issegmentclonal used maybe used todo this parameter pushed issegmentclonal used maybe used,CODE,1299
1300,make sure segment length remains todo occur needs prevented upstream,ARCHITECTURE,1300
1301,make sure segment length remains todo occur needs prevented upstream,ARCHITECTURE,1301
1304,todo check columns input,CODE,1304
1305,todo check columns input,CODE,1305
1307,authors impute2 mention parameter works best population types thus hardcoded,CODE,1307
1308,todo this must dapted hardcode chromosome names,CODE,1308
1309,stringsasfactor needed kept legacy purposes,CODE,1309
1310,fixme could try harder,CODE,1310
1311,fixme,CODE,1311
1312,to do allow inclusion loglikelihood negative loglikelihood base delta should deltas include deltadf well,REQUIREMENTS,1312
1313,hack protect aod method,CODE,1313
1314,questionable,CODE,1314
1315,semi definite use king et al method may need semidefinite could nt invert h first place nearpd wants take nonposdef matrix pdify perhaps could pdify hessian invert,ALGORITHM,1315
1316,work around emdbook bug,DEFECT,1316
1318,fixme warn effsamp low,CODE,1318
1319,fixme problem bounds formulae,DEFECT,1319
1320,residfalse stub i going use returning residuals rather mle eg minpacknls,CODE,1320
1321,need check variable order go according functionformula start,DEFECT,1321
1323,bug in here somewhere fixme sensitive to order of start model matrices,DEFECT,1323
1324,fix parameters already correctly specified,CODE,1324
1325,better way need look parameters etc,CODE,1325
1326,isnull data islist data stop data argument must specified using formula interface bugfixme data evaluates false point regardless whether specified fixme make eval less fragile sysframe sysnframe specifies number current frame envirdata enclosparentframe actually works ok fails enigmatically,ARCHITECTURE,1326
1327,browser minor hack store information otherwise could different numbers arguments different distributions,CODE,1327
1328,nt work yet need eval arglist right env debugfn cat unlist arglist r n,DEFECT,1328
1329,need logic identify correctly need pass parameters vector,REQUIREMENTS,1329
1331,want given vector start set vecpartrue,CODE,1331
1332,rearrange lowerupper order start fixme use names rearrange present,DEFECT,1332
1333,redo list structure named make sure reorder useless comes l constructed,ALGORITHM,1333
1334,eric weese end gradient function fixme try assignment appropriate environments rather replacing set env environment previously set,DEFECT,1334
1335,nt ask get us dependency hell require optimx,DESIGN,1335
1336,fixme profiles best method mle,DEFECT,1336
1337,optimizer bobyqa may stripped names try restore,CODE,1337
1338,else fullcoef coef compute termination info fixme worry parscale,DEFECT,1338
1339,yet replaced relist reconstruct list structure v vector l original list use template,CODE,1339
1340,ugh,CODE,1340
1341,nt vcov x work,TEST,1341
1342,object fullcoef object coef additional argument possible,CODE,1342
1343,causes infinite loop unnecessary anyway bicmle2 stats4 bic,DESIGN,1343
1344,sure work,DEFECT,1344
1345,hack need way figure many data points absence explicit data argument replicate constant values full length,ALGORITHM,1345
1347,hack nonmonotonic profiles z sgn sqrt abs zz,CODE,1347
1348,cat instead warning fixme use message instead fixme nt warning,DEFECT,1348
