comment,debt
fails adonis must done detached df used instead duneenv,TEST
benedicte bachelot informed us several anovacca functions failed community data name function name function name found first used instead ofa data this seems related problem sven neulinger communicated examples still faile condition strata function names however following examples failed work,DEFECT
richard telford tweeted example fails work also issue githubcomvegandevsvegan,TEST
envfit plotenvfit latter failed naaction resulted observation given factor level removed plotenvfit would fail error long subscript fixed case data presented envfit also extraneous levels,DEFECT
capscale euclidean distances noneuclidean distances imaginary component give back data,CODE
todo add test,TEST
todo add test,TEST
vectorise future,CODE
vectorise future,CODE
nocov start,TEST
nocov end,TEST
not elegant fix weights provided,CODE
dirty hack avoid overridig base proptable,DESIGN
nocov start nolint start,TEST
nolint end nocov end,TEST
todo define plot functions basicstats,REQUIREMENTS
cat j n debugging todo optimize using function pops needs new function,CODE
calculate corrected assignment index individuals dat genotype data frame sex vector sex labels nperm number permutations carried permutation test tailed test mean aic time todo options one tail tests include test variance fis fst call wc,TEST
verify nbpop nbloc nbal,TEST
this needed avoid notes visible binding r cmd check,BUILD
this dummy real detection,CODE
again dummy,CODE
turn autocommit redshift avoid issue https githubcomohdsidatabaseconnectorissues90,VERSIONING
never run,CODE
set time stop ftp seems give wrong files sometimes,CODE
remove bmf files bovespa equity files,CODE
old code rbind slower,ARCHITECTURE
fix visible binding note check utils suppressforeigncheck colnames doesnt work unfortunately seems easiest way keep check quiet variables,DEFECT
fix visible binding note check utils suppressforeigncheck colnames doesnt work unfortunately seems easiest way keep check quiet variables,DEFECT
check error messages response body todo api responses succeed still include warnings emit well,BUILD
todo improve performance see https githubcombioconductorgooglegenomicsissues17,ARCHITECTURE
todo improve performance see https githubcombioconductorgooglegenomicsissues17,ARCHITECTURE
todo flatten per alt,CODE
obtain genotype calls current assumption unphased need info vcf content might json fixme,DEFECT
add genotype field fixme may reflect actual content gt field vcf,REQUIREMENTS
prediction sometimes fails,TEST
prediction sometimes fails,TEST
bug found cro ä¿®æ ” ¹é™å®šï¼œä¸ç§ » é™¤min type return,DEFECT
generally w mainly occur winter so s seasonable assigned minval error fixed w wmin missval na much appropriate naapprox replace values range setted wmin weight based test marginal extreme value also often occur winter this step really dangerous checked usme2,ALGORITHM
f weird s envinment global env environment f environment,BUILD
todo remove bad one generally m7,CODE
fix error tout,CODE
tasklist ws exported need add iout variable,DESIGN
termination criteria tricky how determine successful convergence,ALGORITHM
ans yet defined set list ctrl badval,CODE
bad result what ans yet defined set list failed run ctrl trace,CODE
much missing values sum w length w ypred ypred na adapt wts set iter i1 nptperyear wfact,CODE
browser need fix data error,DEFECT
divide multiple growing seasons update commented solve problem growing season long eg uscop i dt ypeak ypeakmin dt dt i,REQUIREMENTS
bug need remove incomplete year,DEFECT
triplicate hants test not perfect regions multiple growing season no one method cope situation nextend length i ibeg max first i nextend iend min last i nextend nlen,TEST
blowfly model general dt set dt1 dt2 dt hardcoded initial values customized dt,CODE
nocov,TEST
nocov,TEST
nocov,TEST
nocov,TEST
nocov,TEST
nocov,TEST
nocov,TEST
nocov nocov,TEST
nocov,TEST
nocov,TEST
nocov,TEST
nocov,TEST
nocov,TEST
nocov,TEST
the default smoothing kernel r specpgram function weird this function creates better one,CODE
trick turn types input abc format eg becomes,CODE
makes copy model efficient way,ARCHITECTURE
is bad idea we need forge terms inline function may used like poly gurantee env global env one used mold,CODE
inspired https stackoverflowcomquestions43281803embeddeddataframeinrwhatisitwhatisitcalledwhydoesitbehaveth this could probably better it nt work tibble x,DEFECT
todo deprecate hardhat,CODE
nocov end,TEST
nocov start compatpurrr last updated rlang,TEST
nocov end,TEST
nocov start implicitly tested already,TEST
nocov end,TEST
only autodocument creating new packages must explicitly set pkg path,DOCUMENTATION
it removes environment could large needed prediction used modelmatrix data environment object never need i guess could used look global variables formula nt want guard it used modelframe evaluate predvars also evaluated presence data always suffice,ARCHITECTURE
fixme add tetsts runshinymlr possibly use shinytest https githubcomrstudioshinytest,TEST
s weird bug rbinding 0row dt nonzero row dt returns 4m rows,DEFECT
todo right priors first sample used determine scale,CODE
todo incorporate boxcox transformation ie box qt lambda lambda quantile the case lambda may trivial case largely ignored flowclust,CODE
todo determine bayesian flowclust works k specified different length number components given prior if add github issue fix,DEFECT
hack circumvents bug flowclust todo add issue github flowclust allow prior null,DEFECT
fixme currently still returning first peak want pass density instead xbetween min xbetween signal values,DEFECT
todo doublecheck cutpoint minimum found via firstderiv passes secondderivative test,TEST
todo come general design polygongates derived two quadrants,DESIGN
flowcore flowviz support negated filter use refgateboolgate csv template workaround popname stop negated 2d gate supported yet pass gate,CODE
fixme somehow edge attributes correctly assigned edge respectively,CODE
line type somehow nt work,DEFECT
todo determine range xcoord peaks tiny dataderived threshold exclude features range considering cut motivated cytof data long tail extreme values eliminated higher adjust values nt eliminated gaterange,REQUIREMENTS
peak multiple peaks select overall median shoulder cutpoint,ALGORITHM
this absolute last resort make sure block never returns na due lack shoulders inflection points in case return simple min,CODE
create dummy rectanglegate todo move channels deprecate x channel dots list channels dots channels,CODE
todo standardize data ppres,CODE
taking quite time thus internal testing,TEST
todo investigate segfault associated multicore l asinhtgml2trans,CODE
todo fix mccore3 error,CODE
skip gatingargs tcell panel since format changes due scientifc notation 1e3 nt want change csv since used elsewehere,CODE
todo somehow test api extraction without supplying api key,TEST
safe,CODE
safe,CODE
set empty array copy data structure qsorts make na,CODE
make participants unique also nocond case,CODE
dumb otherwise r complains unused argument,CODE
todo set printing method show bootstrapped zscores factor scores stability indices,REQUIREMENTS
not currently used may worth condensing monkeylearngetclassify monkeylearngetextractor,CODE
not sure type output d get,CODE
try loading rdata file stop nt work,DEFECT
here finally decent solution tcltk issues global variables here create new environment whose parent amelia namespace we make sure gui functions use enclosure this means functions use values ameliaenv this eliminates need getamelia calls still careful since assigning values functions local nt automatically add value ameliaenv so assigning putamelia probably still makes sense we could use assign foo bar envir parentframe putamelia probably clear getamelia probably still little safe use throw error something missing whereas relying lexical scoping try use something name search path,ARCHITECTURE
should find better sig figs hack,CODE
maybe can remove loop,CODE
note fix this currently ignores conf assumes ci95,CODE
todo use adist return close names,CODE
workaround https githubcomjuliasilgetidytextissues64,CODE
todo handle case ca nt open browser,CODE
todo handle case ca nt open browser,CODE
todo handle case ca nt open browser,CODE
nocov start,TEST
nocov end,TEST
todo support unix os,CODE
todo rebase promisified fsreadfile async,CODE
never use selfdescriptor inside self class,CODE
hack implement javascript s array sth instead use,CODE
revert par shit original state,CODE
todo debug,DEFECT
todo readdepth siglevellogr maxdistlogr longer use,CODE
balanced check added dcw,CODE
todo debug,DEFECT
dcw much lenient logr thresholds allow anything todo this parameter pushed issegmentclonal used maybe used todo this parameter pushed issegmentclonal used maybe used,CODE
make sure segment length remains todo occur needs prevented upstream,ARCHITECTURE
make sure segment length remains todo occur needs prevented upstream,ARCHITECTURE
todo the logrseg currently updated,CODE
todo update logrseg well,CODE
todo check columns input,CODE
todo check columns input,CODE
decode a c g t encoding used variantdata input files todo place utils script is nt also performed generateimputeinputfromallelefrequenciesr,DESIGN
authors impute2 mention parameter works best population types thus hardcoded,CODE
todo this must dapted hardcode chromosome names,CODE
stringsasfactor needed kept legacy purposes,CODE
fixme could try harder,CODE
fixme,CODE
to do allow inclusion loglikelihood negative loglikelihood base delta should deltas include deltadf well,REQUIREMENTS
hack protect aod method,CODE
questionable,CODE
semi definite use king et al method may need semidefinite could nt invert h first place nearpd wants take nonposdef matrix pdify perhaps could pdify hessian invert,ALGORITHM
work around emdbook bug,DEFECT
check,CODE
fixme warn effsamp low,CODE
fixme problem bounds formulae,DEFECT
residfalse stub i going use returning residuals rather mle eg minpacknls,CODE
need check variable order go according functionformula start,DEFECT
hack,CODE
bug in here somewhere fixme sensitive to order of start model matrices,DEFECT
fix parameters already correctly specified,CODE
better way need look parameters etc,CODE
isnull data islist data stop data argument must specified using formula interface bugfixme data evaluates false point regardless whether specified fixme make eval less fragile sysframe sysnframe specifies number current frame envirdata enclosparentframe actually works ok fails enigmatically,ARCHITECTURE
browser minor hack store information otherwise could different numbers arguments different distributions,CODE
nt work yet need eval arglist right env debugfn cat unlist arglist r n,DEFECT
need logic identify correctly need pass parameters vector,REQUIREMENTS
still sure best thing evaluate elements call make sure still function new environments call lapply call evalparent call lapply call eval envirparentframe enclosparentframe fails embedded funny environment eg called lapply need first place fixme change update profile refit model properly rather evaluating call generally find lessfragile way reverting original form,DEFECT
want given vector start set vecpartrue,CODE
rearrange lowerupper order start fixme use names rearrange present,DEFECT
redo list structure named make sure reorder useless comes l constructed,ALGORITHM
eric weese end gradient function fixme try assignment appropriate environments rather replacing set env environment previously set,DEFECT
nt ask get us dependency hell require optimx,DESIGN
fixme profiles best method mle,DEFECT
optimizer bobyqa may stripped names try restore,CODE
else fullcoef coef compute termination info fixme worry parscale,DEFECT
yet replaced relist reconstruct list structure v vector l original list use template,CODE
ugh,CODE
nt vcov x work,TEST
object fullcoef object coef additional argument possible,CODE
causes infinite loop unnecessary anyway bicmle2 stats4 bic,DESIGN
sure work,DEFECT
hack need way figure many data points absence explicit data argument replicate constant values full length,ALGORITHM
,CODE
fixme abstract generalpurpose code ie replace fitted objective function parameter vector optimizer method control settings min val standard errorhessian allow starting values set mle always use mle prevfit default extrap linear extrapolation previous two fits,CODE
hack nonmonotonic profiles z sgn sqrt abs zz,CODE
cat instead warning fixme use message instead fixme nt warning,DEFECT
still bad,ARCHITECTURE
this logic bit frail cases high parameter curvature we probably least something cases mle2 call fails parameter gets stepped outside domain we,ARCHITECTURE
added isna test tryharder case fixme add unit test,TEST
q reset par mfrow par mfg anyway,CODE
fixme this need monotonic cat obj parvals obj z n fixme reconcile confint,CODE
attempt use uniroot,CODE
fixme,DEFECT
to do roll back bbmle allow multiple transects ie two sets parameters given robustification print method allow manual override ranges allow logscaling preserve order parameters 1d plots,ARCHITECTURE
vectorize objective function return minus log l switching deviance screws things,DEFECT
old slice method probably roll option profile include attribute warning draw differently leave conf limit lines slice function fitted usemethod slice,REQUIREMENTS
this logic bit frail cases high parameter curvature we probably least something cases mle2 call fails parameter gets stepped outside domain we,ARCHITECTURE
possible set 2d vectors include baseline value maybe easily,CODE
fixme something elegant flatten slice list,CODE
fixme robust,ARCHITECTURE
fixme use drawcolorkey add legend fixme make diagonal panel text smaller,CODE
fixme compare two setmethod update mle2 function object evaluate true call object call extras matchcall expanddots false length extras existing isna match names extras names call names extras existing call extras existing call c aslist call extras existing call ascall call evaluate eval call parentframe else call,CODE
fails,TEST
fails,TEST
not working,DEFECT
i experiencing difficulties one modeling function bbmle mle2 like modeling functions r uses matchcall retrieve save original function call future use i ll describe problem bbmle show i provoke similar problem lm,DEFECT
similar issue curve3d how curve work,DEFECT
one value,REQUIREMENTS
fixme residuals backwards,DEFECT
fixme residuals backwards,DEFECT
,CODE
fitted mfit0 fails looks default value fixme nt expand properly need implicit lambda1 formula,DEFECT
fixme fails although error errors caught profiling due npar restricted optimx,TEST
work scale hand identical problem,DEFECT
works ok despite warnings 1dimensional opt nm,DEFECT
gets stuck investigate,DEFECT
throws warning cran system bdr report testsnoldbbmlercheckâ€™ using r under development unstable r77606 using platform x8664pclinuxgnu 64bit suppresswarnings nt seem suppress warning instead use test https wwwrbloggerscomanoldplatformonrhubpackagebuilder,TEST
slow,ARCHITECTURE
todo find solution run tests rforge,TEST
fixme check results need save environmentfriendly way,DEFECT
target logfile overwrites last bc nt expect debug often nt want bazillion extra files,DEFECT
interleave gnu make conditional i hope works systems exceedance timetolive,ARCHITECTURE
look fetchtimestamp method appropriate item s fetcher code bit fragile re quite darndest replicate runtime environment work common cases debuggedinspected specifying fetchtimestamp parameter viz item see next code block,ARCHITECTURE
todo watch cyclic depends,DESIGN
nothing,BUILD
present files need mimetype mimetype filepath need specify reader folder shared mimetype vizyaml make recursive get subdirs add viz object add pattern reads files meet pattern eg csv,REQUIREMENTS
todo watch cyclic depends,DESIGN
need copy files needed testing copy everything need eventually tests,TEST
unpublish nt work nt remakeyaml yet think s fine,DEFECT
publishing occurred items get removed remake database files nt deleted this section not complete vizmake publish nt work testviz m time make work tests wish could run run wateruse15 vizmake publish publishedtargetfiles dir target recursivetrue fullnamestrue msgs capturemessages unpublish expecttrue grepl del msgs targets deleted needed crayon package unpublishedtargetfiles dir target recursivetrue fullnamestrue expectequal publishedtargetfiles unpublishedtargetfiles files nt changed,DEFECT
hack let predictdixoncoles know add hfa,CODE
create arguments optim we need docall pass default args maybe s better way using rlang list2,CODE
give games home team wins higher weight compare hfa todo come better granular tests feature,TEST
dummy trick r cmd check,BUILD
dummy trick r cmd check,BUILD
todo b1 s1 crossprod indep theta,CODE
avoid r cmd check note,BUILD
working yet,DEFECT
useless datacheck prevent bugs remove debugging,CODE
do slots really need copied,ALGORITHM
nocov start,TEST
nocov end,TEST
nocov end,TEST
nocov,TEST
nocov,TEST
nocov,TEST
nocov,TEST
todo should return null,CODE
todo this function uses local options use global options well,CODE
precheck data compatibility nullhyp comparison todo,REQUIREMENTS
todo add plottrue return s3 object responds plot obj,DESIGN
diffdf ever good approx todo,CODE
complain parameters box constraints todo,CODE
complain parameters box constraints todo,CODE
return detailed results somehow todo,CODE
todo user developer might someday want directly use lowlevel initialize method instead highlevel constructor function typecasting also occur,USABILITY
remove slot todo,CODE
maybe something smarter todo,CODE
,CODE
now something means to replicate old behavior set the following two lines deleted meanjac null meanhess null even though might null processed earlier,CODE
todo figure certain elements fulljac end missing data missing bc colmeans zero fulljac fulljac,DEFECT
try weird nonhao version,CODE
remove todo,CODE
todo make sure fixedeffects results look ok summary output multigroup model,REQUIREMENTS
this inefficient way generate data it would better generate cpick first generate row time component expectations i nt code way api really set generating data row time,ARCHITECTURE
todo add outside data reference relational data,REQUIREMENTS
nocov start,TEST
nocov end,TEST
todo ask spiegel brick really supposed,PEOPLE
todo allow subsets matrices specified filling default matrices,REQUIREMENTS
todo add expected mean cov printouts,TEST
todo check data raw,CODE
necessary,CODE
annoying,CODE
todo add safety check is wls fit function does data fullweight,ARCHITECTURE
nocov end,TEST
nocov end,TEST
just case user provided modelnamefitfunction,USABILITY
todo somewhere add check least one lx ly exist,CODE
works initialization todo add processing addingremoving variables variables switching exo endo,DEFECT
model f creatematrixf model todo something restructuring lx ly needed,ALGORITHM
nb th asymmetric not to path,CODE
add th note switch fromto nb th asymmetric not to path,CODE
todo get submodel multigroup model mi working write automatic model search algorithm forward entry start minimal base model add free parameters longer merited,REQUIREMENTS
yet tested,TEST
probably wo nt work,DEFECT
nocov end,TEST
todo helpful warning message,USABILITY
possible todo instead error drop bad reference carry,USABILITY
not sure else case,CODE
todo informative error message,USABILITY
todo informative error message,USABILITY
what multiple names match,ALGORITHM
years convert actual error todo,REQUIREMENTS
bit hack,CODE
due demand cran maintainers default cores ompnumthreads set this seems like bad policy openmx team choice,BUILD
structure matrix must fixed todo optimization possible cases part structure matrix fixed,CODE
development some models transformable todo multilayered models,REQUIREMENTS
might solvable split,ALGORITHM
partial solve possible covariances latents fixed zero variances latents free analytical solution still possible cases one latent all covariances fixed zero conditional more one latent there free covariances latents,REQUIREMENTS
multilayer nt work missingness,DEFECT
although explicit code solvetype solve happens implicitly smatrix free latentvars latentvars free saturated covariance matrix,CODE
broken case covariance data means analytical solution block this case covariance data means data present solvetype solve analytical soln,DEFECT
todo in nhev cases constraints nt part error covariance matrix ppml applied constraint model constraints always break,REQUIREMENTS
actually right second half check happens fakelatents folded model partway pretransform phase todo maybe make second parameter maybenhev clarity,CODE
important nhev missingness algorithms seem compatible,ARCHITECTURE
development if irrelevant constraints analytical solution probably wrong might well try todo see breaks models development,REQUIREMENTS
noninvertible cerr not valid ppml model need able invert cerr,CODE
todo is missing transform m matrix,REQUIREMENTS
normal case probably time,CODE
objective sum todo combine algebra objectives ppmltransformed models objectives paste submodelnames objective sep,ALGORITHM
need correction n n1 trying generate sample variance population for variances pulled transformed data cov matrix accounted however denominator means n n1,DEFECT
for reason indexing character dimnames nt work fix lapply call index converts dimnames latentvars appropriate numerical indices,DEFECT
analytical solution means fix means values optimizer nt bother partialsolved free nt bother do nt fix original model expected latent means free vary do nt fix missingdata case solved submodel different solution just plug use average best guess optimize simultaneously,DEFECT
using r s covariance matrix function work sigmalatent cov asmatrix model data observed length latentvars,DEFECT
development this cause problems models left right model solved simultaneously will need put conditional in cases left right model solved simultaneously need wrap bigmodel put data bigmodel todo move block selectsubmodelfdata raw data extract model,DEFECT
correction factor nn1 end re trying find sample variance population variance the denominator mean n n1 must corrected get sample variance tried no factor diff 9194952e2 n n1 factor diff 8420196e2 n n1 factor inside n1 n factor sqrt n n1 factor n1 n n1 n2,DEFECT
todo wrap timing functions profiling,ARCHITECTURE
ppml fit todo,REQUIREMENTS
note not checking hessians re never close sure comparison actually meaningful,DEFECT
check parameters versus parameters order simple iteration work,CODE
todo check expmeans replicated,CODE
estimated hessians way way far nt seem worth checking,CODE
determine flags na tolerance do nt check,CODE
for s special considerations necessary operating s manner breaks symmetry matrix changes output so instead directly extract labels free values operate reinsert,ALGORITHM
idiot check make sure manifest manindex exists,CODE
todo handle nonnull newdata todo handle multigroup models intelligently recursively,DEFECT
todo ensure est always matrix,DEFECT
nocov end,TEST
nocov end,TEST
possible todo handle case function recursion,CODE
nocov end,TEST
deprecated done imxflattenmodel confusingly,CODE
wrap mxcomputetrycatch,CODE
add ability fit multiple groups if given model whose data set variables model uses variables adjust function make saturated model used variables todo check done reasonably correct todo improve interaction added ability independence model added fix variances binary variables via mxconstraint filtered expected cov,REQUIREMENTS
todo adjust increment value,CODE
need revisit todo,CODE
refactor todo,CODE
incorporate row frequency weight information todo,REQUIREMENTS
todo greml expectation nt currently way know many phenotypes every case for leave greml independence model undefined with greml expectation independence model variance phenotype fixed effects fitted model retval independencedof retval observedstatistics sum sapply obj function x length x yvars sum sapply obj imxextractslot name numfixeff,ALGORITHM
this probably take account whether bounds requested consider optimizer codes also todo,REQUIREMENTS
todo nt count implicit free parameters profiled,CODE
todo right,CODE
the tricky thing output length mxstandardizerampaths guaranteed every replication,DEFECT
nocov start,TEST
nocov end,TEST
todo need input checking for instance initialgradientiterations positive integer right,DEFECT
nocov,TEST
nocov,TEST
nocov,TEST
nocov,TEST
nocov,TEST
nocov nocov,TEST
nocov,TEST
nocov nocov,TEST
nocov,TEST
nocov,TEST
nocov,TEST
future work omxbrownie objects nt work yet,DEFECT
fixme may conflict,DEFECT
nocov start,TEST
nocov end,TEST
compare openmx results hardcoded mx results,TEST
convert raw counts todo factormodel data observed x1 unclass factormodel data observed x1 1l,TEST
todo compare standard errors cbind r2 r1 r3,TEST
fixme scale theoretical maximum,DEFECT
fixme average anymore,DEFECT
fixme implement hausdorff,REQUIREMENTS
heatmap default scales rows nt want options ignored use,DEFECT
fixme image throws warning unsorted breaks breaks specified,DEFECT
fake summary dont really provide summary summary produces reasonable result print,REQUIREMENTS
fixme needs check serpermutationvector,DEFECT
fake summary dont really provide summary summary produces reasonable result print,REQUIREMENTS
fixme need able set bandwidth bar fitness function,DEFECT
fixme add tests seralign,TEST
todo passed column name s string able subset anyway,CODE
todo passed column name s string able subset,CODE
r worst tolower tolower tolower,CODE
s sensible way r,CODE
todo make,REQUIREMENTS
todo clarify expected input,DOCUMENTATION
todo make,CODE
nt work variable named text,TEST
nt work numeric vector,TEST
todo this keeps sending warning recursive need figure,DEFECT
i nt think needed anymore,CODE
maybe remove later,CODE
repeat last column match split sentence ie nt want edge return node leaves,CODE
fixme define s3 class based codemeta list lists,DESIGN
start empty vector fixme messages,DEFECT
fixme technically name includes title,DEFECT
fixme versionspecific that s often accurate though reflect cran assumption must compatible latest version,TEST
fixme no good identifier r particularly none specific version,DEFECT
parsepeople internal method takes r person object turns codemeta jsonld fixme id available avoid replicate listing node,CODE
fixme iri many things see https githubcomdgerberrfc3987 formal implementation,CODE
fails,TEST
todo get rid empty groups would harder compute ct sct,ARCHITECTURE
ca nt impute randomness right,CODE
really due fast block jackknives use,DEFECT
checktype warning work s4 methods,DESIGN
todo check hierarchy formula,ALGORITHM
todo check hierarchy here,ALGORITHM
perform da tol1e30 kludge safe one avoid fancy rescaling ldadefault,CODE
do not try to be smart,CODE
old method snpbin,CODE
hack remove note r cmd check plot genlight visible binding global variable â€˜yâ€™,BUILD
stop suitable date generate new sequences lists dnabin vectors must also class list dnabin matrix dnabin nbdes rows find new labels new sequences append general output append general output append general output,CODE
stop suitable date generate new sequences lists dnabin vectors must also class list dnabin matrix dnabin nbdes rows find new labels new sequences append general output append general output append general output,CODE
recompute,CODE
todo insert jerome s method checking whether hierarchy truly hierarchical,DESIGN
get allele frequencies sum pi2 pop loc generalized ploidy for genpop objects constant ploidy assumedneeded this kludge,CODE
treat missing argument compatibility tab na asis zero mean mean,CODE
treat missing argument compatibility tab na asis zero mean mean,CODE
this code has been taken from ade4 it has been moved to adespatial this is merely a temporary fix,CODE
old stuff not used for now,CODE
optimizeseqtrack todo change output retain xxx simulations ok done vectorize mu seqlength recycle needed warning uncomment adapt test code missing data optimizeseqtrackdefault function x xnames xdates typedchrnull munull seqlengthnull thres02 bestc min max proxmatnull nstep10 stepsize1e3 rdatertimeseq argrdatenull rmissdaterunifdate,TEST
retain given thres dates tokeep valres quantile valres thres not working for optimmax valres valres tokeep,DEFECT
todo extend various ploidy levels possibly optimizing procedures haploids,DEFECT
todo check hierarchy here,CODE
vecraw integer nbbytes longer needed sending raw type directly,CODE
wed apr i leaving function along necessarily break solaris i leaving code timings case znk,CODE
quite artificial test case,TEST
todo keep record trialschannels etc removedinterpolated allow marking inspection rather outright rejection,CODE
this relatively memory intensive bad would prefer another way could get extremely painful timefrequency data,ARCHITECTURE
this total hack make rest code behave eegevoked data,CODE
fixme need think ee case use svd input bhat bhatshat,ALGORITHM
quicker diag shat j v diag shat j,ARCHITECTURE
quicker diag shat j v diag shat j,ARCHITECTURE
todo make covariance matrices canoncical ones take r instead data replace getposteriormatrices individual access function thoughts add ability prune lowweight components test ed maybe want separate datadriven canonical matrices could runs separate test things improve datadriven matrices could store results one mash run copy whole mash environment,REQUIREMENTS
older data,CODE
older formats ie subs,CODE
hack minorcn male samples battenberg bug,DEFECT
hack minorcn male samples battenberg bug,DEFECT
currently nt work d hh pallsubclones dataframe psmx cnstates clonalflag dropfalse list,DEFECT
no mcn hotfix treated timing m m2,REQUIREMENTS
hotfix regions treated timing m m2,CODE
hotfix regions treated timing m m2,CODE
dontime secondary needs work,DEFECT
hotfix regions treated,CODE
todo,CODE
open shiny app running test interactive mode this force app available run test successfully if better way test please let know see thread https groupsgooglecomforum topicshinyappsuserselmov1eurq,TEST
bad deal blockcount,DEFECT
test special cases handled compiled c code put all this inside a trycatch qcall call lm,TEST
analyse option choose whether filtering calculated minimacreported statistics cat basename minimac analysing n candidate variantsn sep,ALGORITHM
colocfast minimalist implementation intended internal function use inside data table grouped operations inside multicoloc fixme returns na alpha12alpha21 join type inner beta na important multicoloc signal2,CODE
fixme make slick,CODE
fixme may return zero rows handle gracefully,CODE
if using marginal results analysis2 ie missing signal2 use inner join hence silently drop rows nt match if using cleo results analysis2 use left join fixme hardclip make query run faster selecting entity,ARCHITECTURE
query marginal statistics analysis2 fixme handle better multicolocdata always return signal2 default marginal lookup,DEFECT
fixme explicitly pass priors,DEFECT
fixme explicitly pass priors,DEFECT
fixme explicitly pass priors,DEFECT
threshanalysis threshanalysis max zmat narm true threshold could relative instead absolute threshentity threshentity max zmat narm true threshold ditto fixme nothing passes thresholds adapt gracefully,DEFECT
fixme add legend shown region used hard clipping onoff,REQUIREMENTS
fixme guaranteed entitytype ensg,DEFECT
fixme guaranteed entitytype,DEFECT
fixme may want rename p1 p2 p12 etc,DEFECT
note rough exploration ad metaanalysis igap ukb results suggests lnodds units priorsd1 priorc1e05 gives sensible results nullpp function lead variant pvalue across range highlyborderlinenonsignificant loci fixme make small notebook documenting broader discussion statgen change default priors coloc,DOCUMENTATION
internal function query conditional signals partly fully overlap query region fixme currently selection entity supported,REQUIREMENTS
fixme could made much efficient finding posstart posend gwasresultscond attaching extra columns gwasresultsjoint,ARCHITECTURE
fixme db query limit expensive way generate df rows,DEFECT
internal function calculate posterior probabilities credible sets data returned fmcleodata fixme currently selection entity supported,REQUIREMENTS
rescale max variants null including null needed cleo selected significant signals unless priorc small fixme stable scaling propagate use fm calculations,ARCHITECTURE
compute credible sets signal fixme optimize remove loop repeated ie groupby slightly complicated dependence nullpp consider adding dummy rows chromposrefaltbetasena represent empty model signal this would make normalizing easier,CODE
data rows fixme add expected columns attr ibutes,DOCUMENTATION
fixme s interesting possibility use allytrue capture impactful variants fm analysis potentially flag user,USABILITY
pci probability causal impact fixme content impact changes,DEFECT
fixme setdiff names attr data nullppcleo add true zeros,DEFECT
fixme zero signals names attr data,DEFECT
aggregate signals fixme throws error data rows,DEFECT
preserve original attributes note list introspected hard coded fixme,CODE
fixme ensg ids change integers use gtxlabel,CODE
fixme filter proteincodingonly,CODE
fixme need support alternative logic gtxwhere avoid serial queries if one genes overlap query position return like abc123 abc123 abc124,ALGORITHM
otherwise query nearest genes left right arbitrary tie breaking fixme perfect,CODE
fixme filter proteincodingonly,CODE
fixme filter proteincodingonly,CODE
fixme return data table zero rows,CODE
return row indices input unsorted fixme would better store original order invert permutation,CODE
happen,DEFECT
hacky works check env update calls inside grsonesnpapply correct,CODE
hack make generic length residuals gets back sample size objects,CODE
changing call true would make stop message say error occurred gtxfatal2 we want inspect parentframe find error actually occurred fixme,DEFECT
deprecated version line getoption gtxdebug false return message slightly updated version flogdebug,CODE
convenience function construct where part sql analyses table note behaviour arguments oror different gtxwhere and ncasege ncohortge filters document better fixme rename analysisu analysisuniq fixme,DOCUMENTATION
analysis descriptioncontains phenotypecontains etc ored within arguments fixme impala like case sensitive ilike case insensitive sqlite like case insensitive either switch class dbc use lower like lower b,CODE
fixme bad hack make better,CODE
fixme make nicer formatting like maf,CODE
fixme add text filtering requested could applied warnfreq warning gtxfilter maf filtering skipped hasfreqfalse analysis analysis warnrsq warning gtxfilter rsq filtering skipped hasrsqfalse analysis analysis,DEFECT
fixme check getoption,CODE
need,CODE
fixme logging message could improved entitytype null empty string,USABILITY
fixme unclear handle analysis entities fixme throw error entitytype null,ALGORITHM
narmtrue safety db systems kinetica return na s despite pval is not null predicate hard coded threshold makes sense control visual display,ARCHITECTURE
annoying back conversion pvalue scale fixme qq10 code directly support ymax,DEFECT
note gtxanalysisdb used idea deprecated,CODE
fixme get analysis metadata needed n r2rs calculation,CODE
happen,ALGORITHM
todo incorportate ref alt,REQUIREMENTS
wtf seems dangerous kbs,PEOPLE
hard code number rows metadata temporarily debug,CODE
hack work around p line,CODE
nonrobust workaround deal plink calling coded allele,ARCHITECTURE
fixme would flexible allow option different rsqge mafge emacge caseemacge analysis,DEFECT
fixme throw error na fixme throw error na,CODE
fixme needed gtxfilter fixed return,CODE
calculate weighted average rsq freq weighted using ncohort ncasencontrol input metadata fixme make robust hasfreq hasrsq false input dataset,ARCHITECTURE
fixme add option order res chromposrefalt make option since expensive,REQUIREMENTS
fixme since r currently write back full set summary stats need way plug existing tools eg gwas like summarization top hits manhattan qq plots eg selection region feed regionplot coloc etc,BUILD
something odd happened ndrop0 na fill vectors matrices right size zero take limit prior inf take limit prior prec matrix rep na length rightvars nrow length rightvars,DEFECT
prec match uridx ridx match uridx ridx xtwx uridx uridx drop false vscale is this right,CODE
needs better bounds range checking trialparams na fails,TEST
never happen,CODE
broken,DEFECT
broken,DEFECT
fixme replace,DEFECT
hard coded threshold makes sense control visual display,CODE
fixme dynamically shrink cex bigger par usr,DEFECT
normally debug message raised warning situation,DEFECT
work fine filtering arguments missing internally sets allanalyses true,CODE
handle resultsdb null database returned na r since using gtxanalysisdb add period resultsdb database name otherwise empty string use pattern sgwasresults sprintf s fixme would better go gtxanalysisdb future maintenance,REQUIREMENTS
