comment,debt
littl bit code cleanup,code/design_debt
polish contribut guid,documentation_debt
fix typo error,documentation_debt
solr12923 harden testsimnodelosttriggertesttrigg,test_debt
yarn9074 consolid docker remov logic containercleanup contribut zhaohui xin,code/design_debt
geode8211 fix flaki shutdown test 5209 problem instanc variabl set one thread read anoth volatil,test_debt
accumulo1505 fix warn patch,code/design_debt
templat resourc page 1041 templat resourc page chang titl page resourc add miss licens header add licens header screatorcocr,documentation_debt
fix eolstyl,code/design_debt
remov duplic lombok annot pulsarbrok modul 6130,code/design_debt
fix typo storageconfigenrst,documentation_debt
http default remov unneed valu fix featur regexfunct fix function replac config element,code/design_debt
airflow2810 fix typo xcom model timestamp fix typo xcom model timestamp field new test field alreadi repres migrat close 3652 andywilcofixdatetimetypo,documentation_debt
fix format,documentation_debt
ad littl get start document fix develop cvs link,documentation_debt
ts1475 fix clang warn,code/design_debt
ambari17117 fix misnam zookeep connect string log search miklo gerg via oleewer,code/design_debt
clean inact iscsi session vms get move due crash 3819,code/design_debt
avro1923 stop infinit recurs genericdatatostr,code/design_debt
get rid warn dont break spring2 support,code/design_debt
simplifi loop dont need,code/design_debt
camel1834 messag content sent except handler reread,code/design_debt
cleanup consol output offlineclusterintegrationtest 5536,code/design_debt
spark8945sql add add subtract express intervaltyp jira httpsissuesapacheorgjirabrowsespark8945 add add subtract express intervaltyp patch conflict merg resolv committ reynold xin rxindatabrickscom close 7398 viiryaintervaladdsubtract squash follow commit acd1f1 liangchi hsieh merg remotetrack branch upstreammast intervaladdsubtract 5abae28 liangchi hsieh comment 6f5b72e liangchi hsieh merg remotetrack branch upstreammast intervaladdsubtract dbe3906 liangchi hsieh comment 13a2fc5 liangchi hsieh merg remotetrack branch upstreammast intervaladdsubtract 83ec129 liangchi hsieh remov intervalmethod acfe1ab liangchi hsieh fix scala style d3e9d0 liangchi hsieh add add subtract express intervaltyp,code/design_debt
geode4822 fix analyzeserializablesjunittest actualdataserializablesdat stop emit bytecod file longer use expect,code/design_debt
implement nextprevi button navigationjava class old presentationcontrol sychronizenavigationphaselisten longer need,code/design_debt
error log api,code/design_debt
ts953 consolid string copyconcat iocorenet,code/design_debt
hotfixruntim fix codestyl zookeeperjobgraphstor close 11996,code/design_debt
geode7885 improv redislockservic fix synchron memori leak 4819 geode7885 improv redislockservic fix synchron memori leak redislockservic abl automat free keyslock unlock sinc key also bege referenc region fix synchron iter keyset avoid concurrentmodifiactionexcept,code/design_debt
hive14960 improv stabil testnotificationlisten marta kuczora via aihua,code/design_debt
amend hdfs799 remov unnecessari tls check contribut colin patrick mccabe,code/design_debt
gobblin751 make enforc file size match configur make enforc file size match configur dear gobblin maintain pleas accept understand review check step jira issu refer titl exampl gobblinxxx gobblin httpsissuesapacheorgjirabrowsegobblin751 descript screenshot applic better rollout select rollout dataset valid configur copi data file configur differ dataset publish phase test need test extrem good reason commit subject line squash multipl commit address issu addit commit follow guidelin write good git commit messagehttpchrisbeamsiopostsgit commit subject separ bodi blank line subject limit charact subject end period subject use imper mood add ad bodi wrap charact bodi explain make enforc file size match configur differ configbaseddataset fix spell close 2616 yukuai518cuz,documentation_debt
code tidi archivebuild,code/design_debt
remov unnecessari activ autoscal,code/design_debt
error messag fix monoton map,code/design_debt
lucene6553 simplifi live doc appli,code/design_debt
remov unus wicket compon traffic monitor,code/design_debt
cxf6769 fix typo,documentation_debt
move hardcod depend version properti tag pomxml 1582,code/design_debt
samza1122 renam executionenviron applicationrunn refactoringcleanup renam executionenviron applicationrunn includ subclass renam packag orgapachesamzaruntim renam standalondapplicationrunn localapplicationrunn close xinyuiscoolsamza1122 squash follow commit cff5206 xinyu liu merg branch samza1122 httpsgithubcomxinyuiscoolsamza samza1122 c341d3d xinyu liu samza1122 renam executionenviron applicationrunn 6a71205 xinyu liu samza1122 renam executionenviron applicationrunn,code/design_debt
remov doublenl test valid dfdl721,test_debt
remov code old parser,code/design_debt
updat druid consol doc 0150 7697 updat druid consol doc 0150 sql queri ad link fix typo,documentation_debt
add debug log messag miss callback patch aaron morton jbelli cassandra2081,code/design_debt
jeddict322 onmdbmetadatamodel fix typo,documentation_debt
reformat jmeter convent minor javadoc updat most format code chang,code/design_debt
geode1938 remov except ignor pool cannot connect server,code/design_debt
remov trail white space,code/design_debt
updat feideadevmd 4852 updat feideadevmd use brew instal thrift09 instal thrift 0931 brew edit thrift090 head show thrift09 use thrift 0931 futur submitrunn task submit runnabl task execut return futur repres task futur get method return null upon success complet,code/design_debt
fix secur issu listnetwork,requirement_debt
format make consist claus,documentation_debt
guacamole220 correct typo status status,documentation_debt
fix typo,documentation_debt
accumulo1552 appli jonathan hsieh patch fix typo,documentation_debt
minor updat cxfnonspringjaxrsservlet make simpler overrid method creat applic,code/design_debt
fix make boxplot transform reason add configitemnameformatt remov configlayout,code/design_debt
groovydoc ad hyperlink method detail return type includ import foo type resolut fix odd font stylesheet,code/design_debt
solr789 javadoc randomsortfield readabl,documentation_debt
scb928 simplifi implement swaggerparamcollectionformatjoinparam,code/design_debt
tomee2277 java refin modul name,code/design_debt
rearrang playbook easili support build local prs,code/design_debt
support collector servic instrument 730 collector instrument agent make agentjar output agent folder collector packag tri add metric annot chang instrument way reformat finish agent code wait pengyongsheng metric requir debug new instrument fix detect bug finish instrument fix compil issu,code/design_debt
commoncommandsdownloadurla improv clean commoncommandsdownloadurla support passiong multipl url tri one work use simpl download scenario add test,code/design_debt
spark9143 sql add planner rule automat insert unsaf safe row format convert two differ intern row format unsaferow old javaobjectbas row format end perform convers two format convers perform oper instead planner respons insert appropri format convers need patch make follow chang add two new physic oper perform row format convers converttounsaf convertfromunsaf add new method sparkplan allow oper express whether output unsaferow whether handl safe unsaf row input implement ensurerowformat rule automat insert convert oper necessari close 7482 joshrosenunsafeconverterplan squash follow commit 7450fa5 josh rosen resolv conflict favor choos unsaferow 5220cce josh rosen add roundtrip convert test 2bb8da8 josh rosen add union unsaf support test bump test coverag 6f79449 josh rosen add even assert execut 08ce199 josh rosen renam convertfromunsaf converttosaf 0e2d548 josh rosen add assert oper input row differ format cabb703 josh rosen add test filter 3b11ce3 josh rosen add miss test file ae2195a josh rosen fix 0fef0f8 josh rosen renam file d5f9005 josh rosen finish write ensurerowformat planner rule b5df19b josh rosen merg remotetrack branch originmast unsafeconverterplan 9ba3038 josh rosen wip,code/design_debt
merg pull request 388 steveblackmonstreams5211 streams521 initi implement twitter account activ api,code/design_debt
add link explan freebsd jail issu workaround,code/design_debt
minor fix open file leak log cleaner integr test close 2870 hachikujifixlogcleanertestleak,code/design_debt
reef80 mismatch bug yarncontainermanagerappendbydeleteandcr synchron write evalu log rethrow except write fail instead swallow jira reef80 httpsissuesapacheorgjirabrowsereef80 pull request close,code/design_debt
local file system base code distributor initi implement,code/design_debt
solr6273 reset test hook final block avoid leakag test,code/design_debt
cloudstack9630 cannot use listnic api advertis ad miss detail listnic api respons,code/design_debt
delet deprec code brooklynmementopersist,code/design_debt
merg pull request 1287 daanhooglandsecurityrulescleanup securitygrouprulescmd code cleanupwrot test clean duplic code object evalu jenkin pull request process buildsao worthwhil keep imho pr1287 securitygrouprulescmd code cleanup review comment handl deal pmd warn code cleanup secur rule test remov autogener pydev file,code/design_debt
prototyp code support leaf span,code/design_debt
remov new valid modul temporarili use build iter queri engin,code/design_debt
hotfix throw origin except thread pool except occur callablerun thread pool throw origin except instead throw new one make hard debug close 2887,code/design_debt
renam rdl distsql 7964 remov useless shardingspherevisitorgett renam rdlvisitor renam rdl distsql renam rdl modul name renam rdl packag name renam rdl class name,code/design_debt
workaround dirti schedul runqueu stat 3168,code/design_debt
made calculatorloc extend calculatorw work ideal move multipl interfac stuff exampl fine,code/design_debt
merg pull request 494 jbonofreamq7394 amq7394 simpl first fix use listenerhasspac recov messag jdbc messag store,code/design_debt
minor tidi,code/design_debt
calcite2216 improv extens aggregatereducefunctionsrul fabian huesk close apachecalcite650,requirement_debt
tomee183 enhanc log,code/design_debt
polish,code/design_debt
fix javadoc memori issu travisci 1051 unset javaopt environ may interfer default set certain maven plugin caus build run memori kill travi host clean bad licens header format remov irc notif nobodi lurk irc anymor arent use build current latest accumulo 192 clean matrix build make build arg relationship build script clear use sudo travisci,code/design_debt
test tri improv test stabil squash follow commit possibl fix httpss3amazonawscomarchivetravisciorgjobs110235128logtxt close 1676,test_debt
artemis2022 enhanc fix checkstyl avoid duplic logic abil filter group instanti simplestr properti key get properti valu via getobjectproprti ensur special map properti amqpmessag would return avoid custom string repres null instead reli java represent null use objectstostr get string valu properti valu use group,code/design_debt
cxf5577 initi workaround edg case involv matrix paramet,code/design_debt
hbase16414 improv perform rpc encrypt apach common crypto colin,code/design_debt
beam5324 partial port unpackag modul python 6424 partial port unpackag remov legaci code,code/design_debt
hbase1121 cluster confus root commit better log,code/design_debt
solr9717 refactor export hardcod json output use api,code/design_debt
code style,code/design_debt
code cleanup,code/design_debt
test comment explor locat unmanag slow leak around locat one unmanag use entiti,code/design_debt
camelkubernet pod compon doc fix typo,documentation_debt
fix typo anonym fix github close 1998,documentation_debt
thrift3453 remov ratexclud ratexclud file within root sourc tree use anymor origin incub phase tool apach rat use httpcreadurapacheorgrat close 719,code/design_debt
accumulo4605 remov hardcod command main add usagegroup keywordexecut main class print usag command categor group,code/design_debt
pinot3091 new server side trim function new aggreg group new mcombinegroupbyoper use new implement server side trim function trim new trim function take map groupbi key result list input prevent build sever new map aggreg function improv perform new groupbi reduc garbag collect,code/design_debt
tobago1782 clean demo,code/design_debt
document sink better,documentation_debt
io project fix remov invalid file 1601,code/design_debt
httpsissuesapacheorgjirabrowseamq5266 httpsissuesapacheorgjirabrowseamq4485 fix warn log kahadb set batch messag alreadi consum use seq messageid addit singl dest test hammer case,code/design_debt
airflow397 document fix typo instati instanti,documentation_debt
polish,code/design_debt
cxf3693 securitytokenserviceprovid handl except proper,code/design_debt
ad schema valid config detail everi config schema type object name schema suffix topologyworkersschema simpl class string number boolean class suffici schema valu class instanc fieldvalid interfac use fieldvalid declar method valid field method return plainlanguag descript criteria user status compil test noth make use schema yet,test_debt
typo,documentation_debt
remov unnecessari annot httpsgithubcomapacheincubatorbrooklynpull1030discussionr44859924,code/design_debt
remov duplic lombok annot pulsarcommmon modul 5993 motiv class pulsarcommon modul mixtur follow lombok annot datahttpsprojectlombokorgfeaturesdata annot includ annot modif remov setter getter equalsandhashcod tostr data annot also present,code/design_debt
hotfixjavadoc fix typo watermark javadoc,documentation_debt
javadoc correct,documentation_debt
spark22951sql fix aggreg dropdupl empti data frame chang propos pull request spark sql support global aggreg group aggreg global aggreg alway return singl row initi aggreg state output even zero input row spark implement simpli check number group key treat aggreg global aggreg zero group key howev simpl principl drop ball follow case reason dfdropdupl rough translat someth equival translat implement rule replacededuplicatewithaggreg sparkemptydatafram contain zero column zero row therefor rule replacededuplicatewithaggreg make confus transform rough equival follow one transform confus result aggreg oper contain group key emptydatafram contain column get recogn global aggreg result spark sql alloc singl row fill initi aggreg state use output return wrong result fix issu tweak replacededuplicatewithaggreg append liter group key list result aggreg oper input plan contain zero output column way sparkemptydataframedropdupl translat group aggreg rough depict proper treat group aggreg return correct answer patch test new unit test ad close 20174 liufengdbfixdupl,code/design_debt
format,code/design_debt
hadoop9406 hadoopcli leak depend jdk tool jar tucu,code/design_debt
hotfixmetricsjavadoc fix typo,documentation_debt
minor clean,code/design_debt
bug 11646 ovm volum download volum fail root data volum return volum name instead full path ingrati mgmt server bad name convent,code/design_debt
remov restangular deliveryservicerequestservic 3611 remov restangular deliveryservicerequestservicej fix servic method throw error handler remov consol statement add miss messag request remov uneccessari autofocus,code/design_debt
refactor jcloudsrebindwithyamldsltest remov duplic jcloudsrebindwithexternalconfigtest creat common abstract supertyp,code/design_debt
httpsissuesapacheorgjirabrowseamq6204 fix remov logic virtual destin remov insid advisori broker clean virtual destin map proper ad test verifi also ad new debug log help track futur issu,code/design_debt
fix typo javadoc,documentation_debt
remov dead code,code/design_debt
minorpython fix typo docstr top topic chang propos pull request fix typo docstr close 16967 rolandopysparkdoctypo,documentation_debt
avoid repetit log geo info cannot deriv entiti,code/design_debt
improv tobitmap pars int perform 2223,code/design_debt
fix ware,code/design_debt
ts1475 fix clang warn,code/design_debt
improvementcod style fix spell wait wait etc 4118 fix spell fix spell optim code convent add cannot construct process instanc return null add testexportprocessmetadata add testexportprocessmetadata add testimportprocessschedul add masterexecthreadtest add masterexecthreadtest add testsubprocessviewtre add testcomplementwithstartnodelist add testrecursefindsubprocessid add testrecursefindsubprocessid add testrecursefindsubprocessid,code/design_debt
add asgiven function add javadoc,documentation_debt
polish javadoc,documentation_debt
fixtyp leak inner structur type,code/design_debt
tobago1557 consolid tcbutton tclink tccommand undo set style fontweight,code/design_debt
cxf7579 remov exclud test,code/design_debt
spark20980sql renam wholefil multilin csv json chang propos pull request current option name wholefil mislead csv user current repres record per file actual one file could multipl record thus renam propos multilin patch test close 18202 gatorsmilerenamecvsopt,code/design_debt
accumulo378 remov unnecessari log make proper log setsystemproperti ignor invoc,code/design_debt
hdfs2129 simplifi blockread inherit fsinputcheck contribut todd lipcon,code/design_debt
ambari10935 version bar move fast top scroll onechiporenko,code/design_debt
merg pull request 11401 ibzibperformanceregion beam9744 add miss region option perf test,test_debt
camel1373 camelcas fix npe bug one polish code,code/design_debt
use sharddb config instead hardcod valu,code/design_debt
parquet463 add local dcheck macro fix dcheck bug expos also abl remov wnounusedvalu compil flag remov wnounusedvari take place anoth patch work requir close wesmparquet463 squash follow commit da3afb2 wes mckinney fix signedunsign comparison insid dcheck a1ca479 wes mckinney remov wnounusedvalu 0b49cc6 wes mckinney adapt simpl dcheck macro kudu fix dcheck failur,requirement_debt
nifi4436 address miscellan minor issu updat comment compon updat style rpg consist ad icon nest version process group calcul numberst nest version process group,code/design_debt
refactor handl zeroqueu consum separ subclass 3615 motiv simplifi consumerimpl code factor bunch ifels statement special subclass implement,code/design_debt
clean,code/design_debt
remov dead code documentgetfieldsstr cannot return null,code/design_debt
dep remov redund combaidujprotobuf 3322 exclud jprotobuf jprotobufrpccor add commonsio use,code/design_debt
make schedul resili,code/design_debt
reef1559 remov unus method except chang remov method except class unus use singl place jira reef1559httpsissuesapacheorgjirabrowsereef1559 pull request close 1116,code/design_debt
display meaning inform run e2e test case fail 1012 display meaning inform run e2e test case fail,code/design_debt
reduc unus code reus hashmap,code/design_debt
kafka7532 cleanup control log shut broker 5831 line print empti use mkstring elimin arraybuff log empti,code/design_debt
multiedit better handl tag widget place tag widget separ action dialog class indic tag icon better clariti remov requir specifi dummi edit action multirul instead separ tag action appear automat long tag specifi multiedit properti conflict clientwebinfclassesresourcesmessagesproperti uicsscloudstack3css uiindexjsp,code/design_debt
add retrycallsil retryerutil make easi use 2729 add retrycallsil retryerutil make easi use add detail java doc retrycallsil,code/design_debt
grrr unbeliev bad compil failur typo,documentation_debt
flink5345 core migrat various cleanup call concurrencysaf directori delet,requirement_debt
initi checkin api multiplerel support increment replic chang attach need far test hook replic,test_debt
ad better except messag,code/design_debt
flink20679test remov unstabl test jobmastertesttestslotrequesttimeoutwhennoslotoff test jobmastertesttestslotrequesttimeoutwhennoslotoff longer need schedul part coveredi defaultschedulertestrestartverticesonslotallocationtimeout ensur vertic restart alloc timeout alloc timeout part cover physicalslotrequestbulkcheckerimpltesttestunfulfillablebulkiscancel ensur physicalslotrequestbulk time configur alloc timeout close 14448,test_debt
2084 simplifi show,code/design_debt
unus code patch stu hood review jbelli cassandra608,code/design_debt
remov unnecessari log,code/design_debt
camel8753 cameltwitt allow configur http proxi compon level remov use option compon doc,code/design_debt
tabl servic replay txnrequest implement motiv enabl tabl servic pulsar apacheincubatorpulsar1922 notic replay txnrequest miss somehow solut implement replay txnrequest logic command process close 1505 sijiereplaytxnrequest,requirement_debt
hbase19940 testmetashutdownhandl flakey addendum yet debug,test_debt
camel15036 make easier switch use supervis rout control,code/design_debt
unnecessari,code/design_debt
tinkerpop2024 make server archetyp use remot travers sinc promot remot travers script would better archetyp use,code/design_debt
fix sonar warn stream leak,code/design_debt
arrow1132 python unabl write panda datafram wmultiindex contain duplic valu parquet close 768 cpcloudarrow1132 squash follow commit 4b42f643 phillip cloud add test parquet roundtrip dup 49684fd1 phillip cloud arrow1132 python unabl write panda datafram wmultiindex contain duplic valu parquet,code/design_debt
turn failonwarn ignor unus runner modul exampl,code/design_debt
1363 checkstyl,code/design_debt
zeppelin377 hang testingstartsparkclustersh 140 address httpsissuesapacheorgjirabrowsezeppelin377 patch chang spark packag download locat apach archiv mirror download 10min also add miss test 151 chang test version 140 141 close 380 leemoonsoofixsparktest squash follow commit 142583a lee moon soo add test 151 b8323e6 lee moon soo use mirror 13x later version spark,test_debt
arrow1415 glib support date32 date64 close 997 kouglibsupportdate32anddate64 squash follow commit e3a7ca4f kouhei sutou glib fix typo b88345e1 kouhei sutou glib fix build error maco c1186c37 kouhei sutou glib extract common code 8a337000 kouhei sutou glib support date64 type a1c7b0dd kouhei sutou glib support date32 type,documentation_debt
test log,code/design_debt
disabl two flaki test beam8035 beam9164,test_debt
add miss licens header,documentation_debt
kafka3318 clean consum log error messag close 1036 hachikujikafka3318,code/design_debt
hbase22899 log improv snapshot oper wlarg manifest 547,code/design_debt
beam8992 ignor vet failur 10661,code/design_debt
cli import project info config setuppi fix debug msgs lsdfjk,code/design_debt
hotfix fix typo windowedstream close 6825,documentation_debt
netbeans1867 tutori typo last review,documentation_debt
remov duplic websocket client,code/design_debt
solr13659 remov unus solrcachehold accident leftov revert plugin work,code/design_debt
futur api cleanup,code/design_debt
hdfs8207 improp log messag blockreport interv compar initi delay contribut brahma reddi battula ashish singhi,code/design_debt
ignite249 cleanup visoreventscommand class,code/design_debt
accumulo315 fix hang tabl merg unnecessari ad util print merg state,code/design_debt
drill7583 remov stop status oper outcom oper convert throw except error condist stop status unus patch remov stop status relat kill killincom method kill method replac cancel method handl normal case cancel limit close 1981,code/design_debt
1x1 convolut acceler 7613 1x1 convolut acceler gemm direct without im2col col2im 1x1 convolutionstride1pad0 1x1 convolut use common modern cnn network googlenetinceptionresnetmobilenet etc cpplint fix linalgimpl 7611 fix linalgimpl fix fix fix set build status success job end 7628 earlier code mark status success initi new show jenkin status success see check mark github open full build status see build havent even start run someth fail variabl chang failur even without merg red mark github indic build fail correct behavior unchang fix build status test 7629 instal requir sh2jush chang regex match capit alphabet clash warn thrown opencv driver entir codebas build mshadowuseclas0 7625 updat readmemd 7630 unit test csv iter doc updat libsvmit 7623 add unit test csv iter fix lint add libsvm mxnetio doc updat libsvm doc gpu access ndarray 7496 gpu access ndarray gpu access api gpu access fix updat capicc updat capicc refactor cudnn algo reg use string 7561 refactor cudnn algo reg use string refactor ctx list fix refactor saveinput updat iomd 7634 fix test 7633 explicit instal openjdk8 handl earlier version ubuntu instal softwarepropertiescommon updat updat command indent correct add script build doc file version 7636 add script build doc file version fix use add versipn script differ version add fashion mnist move mnist 7635 add fashion mnist move mnist refactor add doc dataset 7644 chang apach packag url https 7622 pip instal coreml convert mxnettocoreml 7624 fix coreml convert readm typosgrammaretc coreml convert readm updat talk layer first model provid exampl convert various standard model call issu inceptionv3 fix coreml convert readm typosgrammaretc coreml convert readm updat talk layer first model provid exampl convert various standard model call issu inceptionv3 pip instal convert mxnetcoremlconvert run maco python insid directori pippackag user need run python setuppi bdistwheel twine upload dist upload itll look like httpstestpypipythonorgpypimxnetcoremlconvert also updat readm convert reflect note go packag per tool time pleas leav feedback think better adopt polici tool one singl packag unit test continu pass inform pypi packag document updat maco releas note 1011 test chang name mxnettocoreml version 010 ad licens setuppi updat readm file correct pip packag name parallel window unit test python jenkin 7646 parallel python window test reorder clariti remov asset load insecur ad asset load origin secur 7649 skip fail test temporarili 7648 lower realli high threshold fix test failur 7650 doc updat instal doc generat 7647 fluent 7584 add 1x1 convolut test indent refactor random linalg contrib namespac 7604 refactor namespac contrib linalg random spars registr chang exampl document chang namespac usag exampl fix pylint remov unus import switch name alia linalg random chang stype comparison string int function use intern chang document use right namespac regist op ndarrayoppi symboloppi remov unus import chang name add ndarray symbol modul revert add ndarray symbol modul revert commit 8bc5de77bfdb40ff48dc570e2c6c49ec5d43ea64 add ndarray symbol modul fix gluon fasionmnist dataset 7655 fix gluon fasionmnist dataset parallel python unit test case jenkin 7658 parallel python unit test case parallel python unit test case jenkin parallel python unit test case jenkin chang namespac make log function chang 7627 chang namespac make log function chang help comment chang updat mklml mkl mac support 7587 1x1 convolut acceler gemm direct without im2col col2im 1x1 convolutionstride1pad0 1x1 convolut use common modern cnn network googlenetinceptionresnetmobilenet etc cpplint indent correct add 1x1 convolut test indent 1x1 convolut acceler gemm direct without im2col col2im 1x1 convolutionstride1pad0 1x1 convolut use common modern cnn network googlenetinceptionresnetmobilenet etc cpplint indent correct add 1x1 convolut test indent cpplint indent,documentation_debt
nifi7339 fix bug caus write ahead proven repositori rollov event file specifi time code cleanup updat default properti,code/design_debt
fix spell,documentation_debt
remov unnecessari file exist check anticompact patch marcus review paulo motta cassandra11660,code/design_debt
yarn695 remov mastercontain status unus field applicationreportproto fix bug applicationreportpbimpl contribut zhiji shen,code/design_debt
arrow619 python fix remain typo ldlibrarypath typo ldlibrarypath instal document close 376 bryancutlerpyarrowinstalltypoarrow619 squash follow commit e38b588 bryan cutler fix typo ldlibrarypath,documentation_debt
fix typo png,documentation_debt
bug 7088 show full error messag ad volum fail,code/design_debt
hotfixdocsconfig remov leftov file,code/design_debt
fix typo doc sure travers,documentation_debt
format,code/design_debt
ad annot,documentation_debt
fix typo comment 13933,documentation_debt
swith full inmemori java compil minro cleanup,code/design_debt
spark13637sql use inform simplifi code expand builder chang propos pull request code expandappli simplifi exist inform groupbyexpr paramet attribut child paramet project append alias group express child output patch test exist test close 11485 cloudfanexpand,code/design_debt
trafodion2810 fix typo provis guid,documentation_debt
remov debug print 2245,code/design_debt
hbase24479 deflak testcompactionteststopstartcompact 1820 poll activ compact count raci tighten assert reliabl,test_debt
arrow7478 rust datafus group express ignor unless pair aggreg express addit chang fix miss group express code style chang fix clippi warn close 6115 kylemccarthyarrow7478 squash follow commit 172bfa5c1 kyle mccarthi merg branch master githubcomapachearrow arrow7478 64e4e62 kyle mccarthi fix miss group expr,code/design_debt
spark19495sql make sqlconf slight extens chang propos pull request pull request make sqlconf slight extens remov visibl limit build function patch test logic chang everyth cover exist unit test close 16835 rxinspark19495,code/design_debt
minor cleanup thank joel clark close couchdb669,code/design_debt
simplifi model bit data api,code/design_debt
spark7684 sql refactor metastoredatasourcessuit workaround spark7684 state spark7684 current testhivereset execut order specif bug make run specif test suit local pretti frustrat refactor metastoredatasourcessuit reli testhivereset heavili use various withxxx util method sqltestutil ask test case cleanup mess avoid call testhivereset close 6353 lianchengworkaroundspark7684 squash follow commit 26939aa yin huai move initi jsonfilepath beforeal a423d48 cheng lian fix scala style issu dfe45d0 cheng lian refactor metastoredatasourcessuit workaround spark7684 92a116d cheng lian fix minor style issu,code/design_debt
spark15783cor still flaki blacklist test ignor chang propos pull request still flaki blacklistintegrationsuit turn moment avoid break build turn back fix patch test jenkin close 13528 squitoignoreblacklist,test_debt
sql fix express data type match also took chanc improv document various type close 5675 rxindatatypematchingexpr squash follow commit 0f31856 reynold xin one function document 27c1973 reynold xin ad document 336a36d reynold xin sql fix express data type match,documentation_debt
hbase14089 remov unnecessari draw system entropi recoverablezookeep,code/design_debt
spark16435yarnminor add warn log initialexecutor less minexecutor chang propos pull request current sparkdynamicallocationinitialexecutor less sparkdynamicallocationminexecutor spark automat pick minexecutor without warn spark throw except configur like propos add warn log paramet configur invalid patch test unit test ad verifi scenario close 14149 jerryshaospark16435,code/design_debt
checkstyl,code/design_debt
style fix,code/design_debt
cover cid 1267799 resourc leak cover cid 1241990 resourc leak,code/design_debt
fix typo,documentation_debt
arrow816 travi script cleanup add toolchain env flatbuff rapidjson close 537 wesmarrow816 squash follow commit 16992b6 wes mckinney disabl travi cach brew instal ccach 4621d2d wes mckinney fix variabl name dc86821 wes mckinney fix integr test travi script 5e2c226 wes mckinney chang file mode ed4be57 wes mckinney travi script cleanup add toolchain env flatbuff rapidjson,code/design_debt
merg branch twodoto httpsgithubcomusergridusergrid usergrid140partialupd askat asanaliev other via yigit sapli other twodoto httpsgithubcomusergridusergrid commit fix wrong test complet percentag valu chop web usergrid141 chop improv usabl fix issu runner status usergrid141 chop improv usabl fix issu runner status dps1010 creat stackjson start script instruct usergrid141 chop improv usabl clean legaci code usergrid141 chop improv usabl runner status form usergrid141 chop improv usabl user key manag usergrid141 chop improv usabl user manag usergrid141 chop improv usabl complet chart usergrid141 chop improv usabl refactor chart layout usergrid141 chop improv usabl refactor modul list window chop fix nonodeavailableexcept embed set startup paus 5000 usergrid141 chop improv usabl iter chart layout chopusergrid138 stop reset oper work usergrid141 chop improv usabl run chart layout usergrid141 chop improv usabl overview chart layout chopusergrid138 start oper work usergrid141 chop improv usabl user list window usergrid141 chop improv usabl modul list window chopusergrid138 chop webapp dao refactor,code/design_debt
spark5597mllib saveload decis tree emsembl base 4444 jkbradley follow chang node schema updat treeid int nodeid int predict impur doubl isleaf boolean split leftnodeid integ rightnodeid integ infogain doubl refactor implement close 4444 close 4493 mengxrspark5597 squash follow commit 75e3bb6 xiangrui meng fix style 2b0033d xiangrui meng updat tree export schema refactor implement 45873a2 joseph bradley org import 1d4c264 joseph bradley ad saveload tree ensembl dcdbf85 joseph bradley ad saveload decis tree need general ensembl,code/design_debt
hbase14256 flush task messag may confus region recov gabor liptak,code/design_debt
bug 11522 new agent manag clean event status agent,code/design_debt
reduc excess log caus travi problem fineract800,code/design_debt
resolv minor doc issu 19062 setlowerbound1 stride zero issu httpsgithubcomapacheincubatormxnetissues18942 error occur stride becam zero solv issu lower bound stride1 stride2 set small typo useunifrom chang useuniform add test check lower bound check stride1 stride2 greater zero updat testoperatorpi document error name paramet issu httpsgithubcomapacheincubatormxnetissues19001 data paramet input solv issu httpsgithubcomapacheincubatormxnetissues19000 fix doc threshold paramet issu httpsgithubcomapacheincubatormxnetissues18999 fix doc context ctx paramet issu httpsgithubcomapacheincubatormxnetissues18990 fix indent issu httpsgithubcomapacheincubatormxnetissues18988,documentation_debt
bigtop2798 apex compon duplic slf4j bind close 231,code/design_debt
spark4387pyspark refactor python profil code make extens base 3255 fix conflict code style close 3255 close 3901 daviesrefactorpythonprofilecod squash follow commit b4a9306 davi liu fix test 4b79ce8 davi liu add docstr profilercl 2700e47 davi liu use basicprofil default 349e341 davi liu refactor 6a5d4df davi liu refactor fix test 31bf6b6 davi liu fix code style 0864b5d yandu oppach remov unus method 76a6c37 yandu oppach ad profil collector accumul profil per stage 9eefc36 yandu oppach fix doc 9ace076 yandu oppach refactor profil move test around 8739aff yandu oppach code review fix 9bda3ec yandu oppach refactor profil code,code/design_debt
remov dead code test,code/design_debt
bookkeeper481 fix javadoc warn ivank via siji,code/design_debt
pca minor bug doc fix jira madlib948 minor fix ad onlin help pcatrain pcasparsetrain unifi error messag clariti fix bug varianc border case10 fix doc reflect correct mean tablecolumn name fix doc reflect allow rang componentsparam,code/design_debt
spark6949 sql pyspark support datetimestamp column express enabl autoconvert javagateway could regist convert given type exampl date datetim two bug relat autoconvert see workaround httpsgithubcombartdagpy4jissues160 httpsgithubcombartdagpy4jissues161 rxin joshrosen close 5570 daviespy4jd squash follow commit eb4fa53 davi liu fix test python d17d634 davi liu rollback chang mllib 2e7566d davi liu convert tupl arraylist ceb3779 davi liu updat rddpi 3c373f3 davi liu support date datetim autoconvert cb094ff davi liu enabl auto convert,code/design_debt
accumulo1680 ad deleteauth shell command reciproc addauth command ticket leav option two command addauth command alreadi ad ticket also suggest transact addremov command use atom oper done sure necessari involv adjust api secur oper ad complex code zookeep interact,code/design_debt
